Formigas,Beta,Evaporacao,Custo,Tempo
10,2,0.1,290,0.4479994773864746
10,2,0.5,290,0.4230520725250244
10,2,0.9,300,0.494997501373291
10,5,0.1,262,0.3889651298522949
10,5,0.5,266,0.39203763008117676
10,5,0.9,262,0.400998592376709
10,10,0.1,262,0.4019489288330078
10,10,0.5,262,0.45399904251098633
10,10,0.9,262,0.42800045013427734
20,2,0.1,301,0.4210178852081299
20,2,0.5,310,0.4279963970184326
20,2,0.9,266,0.49298787117004395
20,5,0.1,262,0.4569971561431885
20,5,0.5,262,0.3910493850708008
20,5,0.9,270,0.4279506206512451
20,10,0.1,262,0.600999116897583
20,10,0.5,262,0.5100476741790771
20,10,0.9,262,0.39196181297302246
30,2,0.1,298,0.4989805221557617
30,2,0.5,314,0.6140022277832031
30,2,0.9,347,0.5149943828582764
30,5,0.1,266,0.4499979019165039
30,5,0.5,270,0.37706637382507324
30,5,0.9,262,0.3759477138519287
30,10,0.1,262,0.44299817085266113
30,10,0.5,262,0.5040020942687988
30,10,0.9,262,0.5070257186889648
